MoveNum,ProcessID,SourceMachine,DestMachine,OriginalMachine,Service,MoveCost,Requirements,Improvement,Timestamp,SolutionId
218,582,71,28,80,574,1,"[101977,158988,267814,20248]",15.7139,1752530053859,32
219,715,47,60,47,706,1,"[66444,33718,527839,14559]",15.8769,1752530053859,33
220,715,60,47,47,706,1,"[66444,33718,527839,14559]",15.5592,1752530053860,33
221,247,0,60,0,250,1,"[108670,128992,143301,411292]",15.8769,1752530053860,33
222,247,60,0,0,250,1,"[108670,128992,143301,411292]",15.8132,1752530053860,33
223,516,7,4,7,509,1,"[2061,4044,794284,627]",15.8769,1752530053862,33
224,516,4,19,7,509,1,"[2061,4044,794284,627]",15.5535,1752530053863,33
225,516,19,36,7,509,1,"[2061,4044,794284,627]",15.7434,1752530053863,33
226,516,36,19,7,509,1,"[2061,4044,794284,627]",15.5535,1752530053863,33
227,516,19,7,7,509,1,"[2061,4044,794284,627]",15.7434,1752530053863,33
228,119,52,60,52,124,1,"[20337,16675,408397,4198]",15.8769,1752530053863,33
229,119,60,52,52,124,1,"[20337,16675,408397,4198]",15.6048,1752530053863,33
230,391,71,60,71,3,1,"[112192,69963,53628,374993]",15.8769,1752530053863,33
231,391,60,93,71,3,1,"[112192,69963,53628,374993]",15.8352,1752530053864,33
232,391,93,71,71,3,1,"[112192,69963,53628,374993]",15.8352,1752530053864,33
233,833,84,60,84,820,1,"[178021,120906,107771,114875]",15.8769,1752530053864,33
234,833,60,84,84,820,1,"[178021,120906,107771,114875]",15.8023,1752530053864,33
235,647,26,10,26,638,1,"[64566,68943,4281,333848]",15.8769,1752530053864,33
236,647,10,60,26,638,1,"[64566,68943,4281,333848]",15.8769,1752530053864,33
237,647,60,93,26,638,1,"[64566,68943,4281,333848]",15.8769,1752530053864,33
238,647,93,60,26,638,1,"[64566,68943,4281,333848]",15.8769,1752530053864,33
239,647,60,26,26,638,1,"[64566,68943,4281,333848]",15.8769,1752530053864,33
240,253,75,60,75,256,1,"[225083,130845,19051,58288]",15.8769,1752530053864,33
241,253,60,88,75,256,1,"[225083,130845,19051,58288]",15.5237,1752530053864,33
242,253,88,93,75,256,1,"[225083,130845,19051,58288]",15.6521,1752530053865,33
243,253,93,88,75,256,1,"[225083,130845,19051,58288]",15.5237,1752530053865,33
244,253,88,75,75,256,1,"[225083,130845,19051,58288]",15.6521,1752530053865,33
245,980,54,60,54,961,1,"[59427,30304,51151,338167]",15.8769,1752530053865,33
246,980,60,93,54,961,1,"[59427,30304,51151,338167]",15.8287,1752530053865,33
247,980,93,60,54,961,1,"[59427,30304,51151,338167]",15.8287,1752530053865,33
248,980,60,54,54,961,1,"[59427,30304,51151,338167]",15.8287,1752530053865,33
249,154,37,4,37,157,1,"[13032,7517,779503,4537]",15.8769,1752530053866,33
250,154,4,60,37,157,1,"[13032,7517,779503,4537]",15.5194,1752530053866,33
251,154,60,37,37,157,1,"[13032,7517,779503,4537]",15.5195,1752530053866,33
252,375,95,60,95,372,1,"[89481,68342,95436,356186]",15.8769,1752530053866,33
253,375,60,95,95,372,1,"[89481,68342,95436,356186]",15.7027,1752530053866,33
254,545,53,0,53,537,1,"[34938,37230,69535,281253]",15.8769,1752530053866,33
255,545,0,60,53,537,1,"[34938,37230,69535,281253]",15.5440,1752530053866,33
256,545,60,93,53,537,1,"[34938,37230,69535,281253]",15.5440,1752530053866,33
257,545,93,0,53,537,1,"[34938,37230,69535,281253]",15.5440,1752530053866,33
258,545,0,53,53,537,1,"[34938,37230,69535,281253]",15.5440,1752530053866,33
259,59,89,6,89,66,1,"[150142,222495,7927,41434]",15.8769,1752530053866,33
260,59,6,71,89,66,1,"[150142,222495,7927,41434]",15.8769,1752530053866,33
261,59,71,93,89,66,1,"[150142,222495,7927,41434]",15.8769,1752530053866,33
262,59,93,96,89,66,1,"[150142,222495,7927,41434]",15.8769,1752530053866,33
263,59,96,71,89,66,1,"[150142,222495,7927,41434]",15.8769,1752530053866,33
264,59,71,89,89,66,1,"[150142,222495,7927,41434]",15.8769,1752530053866,33
265,155,21,4,21,158,1,"[19425,17311,589189,17514]",15.8769,1752530053867,33
266,155,4,60,21,158,1,"[19425,17311,589189,17514]",15.6399,1752530053867,33
267,155,60,4,21,158,1,"[19425,17311,589189,17514]",15.6399,1752530053867,33
268,155,4,21,21,158,1,"[19425,17311,589189,17514]",15.6399,1752530053867,33
269,524,70,16,70,517,1,"[42927,58493,306927,8917]",15.8769,1752530053867,33
270,524,16,52,70,517,1,"[42927,58493,306927,8917]",15.5474,1752530053867,33
271,524,52,60,70,517,1,"[42927,58493,306927,8917]",15.5474,1752530053867,33
272,524,60,71,70,517,1,"[42927,58493,306927,8917]",15.5474,1752530053867,33
273,524,71,70,70,517,1,"[42927,58493,306927,8917]",15.5474,1752530053867,33
274,470,42,52,42,464,1,"[39309,23541,404078,12848]",15.8769,1752530053867,33
275,470,52,60,42,464,1,"[39309,23541,404078,12848]",15.8769,1752530053867,33
276,470,60,52,42,464,1,"[39309,23541,404078,12848]",15.8769,1752530053867,33
277,470,52,42,42,464,1,"[39309,23541,404078,12848]",15.8769,1752530053867,33
278,344,90,0,90,342,1,"[136579,107730,72695,99089]",15.8769,1752530053867,33
279,344,0,8,90,342,1,"[136579,107730,72695,99089]",15.8769,1752530053867,33
280,344,8,60,90,342,1,"[136579,107730,72695,99089]",15.9027,1752530053867,33
281,344,60,93,90,342,1,"[136579,107730,72695,99089]",15.8769,1752530053868,33
282,344,93,8,90,342,1,"[136579,107730,72695,99089]",15.8769,1752530053868,33
283,913,7,4,7,897,1,"[11055,6900,353678,35895]",15.9027,1752530053868,34
284,913,4,16,7,897,1,"[11055,6900,353678,35895]",15.9027,1752530053868,34
285,913,16,52,7,897,1,"[11055,6900,353678,35895]",15.9027,1752530053868,34
286,913,52,59,7,897,1,"[11055,6900,353678,35895]",15.9027,1752530053868,34
287,913,59,60,7,897,1,"[11055,6900,353678,35895]",15.9567,1752530053868,34
288,913,60,71,7,897,1,"[11055,6900,353678,35895]",15.9027,1752530053868,34
289,913,71,59,7,897,1,"[11055,6900,353678,35895]",15.9027,1752530053868,34
290,91,25,0,25,97,1,"[157159,100932,82965,275027]",15.9567,1752530053868,35
291,91,0,60,25,97,1,"[157159,100932,82965,275027]",15.7548,1752530053868,35
292,91,60,0,25,97,1,"[157159,100932,82965,275027]",15.7548,1752530053868,35
293,91,0,25,25,97,1,"[157159,100932,82965,275027]",15.7548,1752530053868,35
294,211,73,0,73,214,1,"[66723,92382,169985,70040]",15.9567,1752530053868,35
295,211,0,16,73,214,1,"[66723,92382,169985,70040]",15.9567,1752530053868,35
296,211,16,52,73,214,1,"[66723,92382,169985,70040]",15.9567,1752530053868,35
297,211,52,60,73,214,1,"[66723,92382,169985,70040]",15.9567,1752530053868,35
298,211,60,80,73,214,1,"[66723,92382,169985,70040]",15.9567,1752530053868,35
299,852,80,0,80,839,1,"[89835,80554,30962,199361]",16.0347,1752530053868,36
300,852,0,60,80,839,1,"[89835,80554,30962,199361]",16.0347,1752530053868,36
301,852,60,93,80,839,1,"[89835,80554,30962,199361]",16.0347,1752530053868,36
302,852,93,0,80,839,1,"[89835,80554,30962,199361]",16.0347,1752530053868,36
303,852,0,80,80,839,1,"[89835,80554,30962,199361]",16.0347,1752530053868,36
304,424,48,71,48,420,1,"[144742,256770,370091,55290]",16.0347,1752530053868,36
305,424,71,48,48,420,1,"[144742,256770,370091,55290]",15.6283,1752530053868,36
306,254,42,4,42,257,1,"[9006,9779,385768,2866]",16.0347,1752530053868,36
307,254,4,52,42,257,1,"[9006,9779,385768,2866]",16.0347,1752530053869,36
308,254,52,60,42,257,1,"[9006,9779,385768,2866]",16.0347,1752530053869,36
309,254,60,4,42,257,1,"[9006,9779,385768,2866]",16.0347,1752530053869,36
310,254,4,42,42,257,1,"[9006,9779,385768,2866]",16.0347,1752530053869,36
311,465,17,0,17,459,1,"[55341,102229,1820,228976]",16.0347,1752530053869,36
312,465,0,10,17,459,1,"[55341,102229,1820,228976]",16.0347,1752530053869,36
313,465,10,34,17,459,1,"[55341,102229,1820,228976]",16.0347,1752530053869,36
314,465,34,60,17,459,1,"[55341,102229,1820,228976]",16.0347,1752530053869,36
315,465,60,93,17,459,1,"[55341,102229,1820,228976]",16.0347,1752530053869,36
316,465,93,10,17,459,1,"[55341,102229,1820,228976]",16.0347,1752530053869,36
317,465,10,17,17,459,1,"[55341,102229,1820,228976]",16.0347,1752530053869,36
318,517,17,6,17,510,1,"[130558,222572,1488,32074]",16.0347,1752530053869,36
319,517,6,23,17,510,1,"[130558,222572,1488,32074]",16.0347,1752530053869,36
320,517,23,71,17,510,1,"[130558,222572,1488,32074]",16.0347,1752530053869,36
321,517,71,93,17,510,1,"[130558,222572,1488,32074]",16.0347,1752530053869,36
322,517,93,96,17,510,1,"[130558,222572,1488,32074]",16.0347,1752530053869,36
323,517,96,71,17,510,1,"[130558,222572,1488,32074]",16.0347,1752530053869,36
324,517,71,17,17,510,1,"[130558,222572,1488,32074]",16.0347,1752530053869,36
325,633,27,60,27,624,1,"[101383,56338,53275,423719]",16.0347,1752530053869,36
326,633,60,93,27,624,1,"[101383,56338,53275,423719]",15.5401,1752530053869,36
327,633,93,60,27,624,1,"[101383,56338,53275,423719]",15.5401,1752530053869,36
328,633,60,27,27,624,1,"[101383,56338,53275,423719]",15.5401,1752530053869,36
329,839,37,0,37,826,1,"[99957,73774,52467,219421]",16.0347,1752530053869,36
330,839,0,60,37,826,1,"[99957,73774,52467,219421]",15.9731,1752530053869,36
